iter	Passed	Remaining
944	45471	2646
945	45513	2598
946	45551	2549
947	45589	2500
948	45627	2452
949	45667	2403
950	45706	2355
951	45745	2306
952	45783	2257
953	45822	2209
954	45862	2161
955	45903	2112
956	45942	2064
957	45986	2016
958	46026	1967
959	46065	1919
960	46104	1871
961	46145	1822
962	46184	1774
963	46223	1726
964	46261	1677
965	46300	1629
966	46341	1581
967	46382	1533
968	46422	1485
969	46460	1436
970	46500	1388
971	46539	1340
972	46579	1292
973	46619	1244
974	46660	1196
975	46698	1148
976	46737	1100
977	46775	1052
978	46814	1004
979	46854	956
980	46895	908
981	46936	860
982	46978	812
983	47017	764
984	47055	716
985	47093	668
986	47130	620
987	47170	572
988	47207	525
989	47244	477
990	47287	429
991	47328	381
992	47371	333
993	47424	286
994	47463	238
995	47493	190
996	47529	143
997	47567	95
998	47600	47
999	47640	0
